Year,Mo,Dy,Date1,Date2,Date3,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
2017,12,18,2017-12-18,18/12/2017,"Monday, 18 December 2017",,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,A,8,1,,,8,1,,,,,8,1,,,8,1,,,,
2017,12,27,2017-12-27,27/12/2017,"Wednesday, 27 December 2017",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,T,,,,,,,,2,,,,,,,,,,2,,
2018,1,5,2018-1-5,5/1/2018,"Friday, 5 January 2018",,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,,T,,,,,,,,1,,,,,,,,,,1,,
2018,1,13,2018-1-13,13/1/2018,"Saturday, 13 January 2018",,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,"T,P",,,,,1972,4,3.564,2,,,,,,,1972,4,3.564,2,,
2018,1,23,2018-1-23,23/1/2018,"Tuesday, 23 January 2018",,,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,,T,1,1,,,11,1,,1,,,1,1,,,11,1,,1,,
2018,2,1,2018-2-1,1/2/2018,"Thursday, 1 February 2018",,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,G,1,1,,,3,1,,,,,1,1,,,3,1,,,,
2018,2,9,2018-2-9,9/2/2018,"Friday, 9 February 2018",5676,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,,W,,,,,,,,,,,,,,,,,,,,
2018,3,21,2018-3-21,21/3/2018,"Wednesday, 21 March 2018",,,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,G,,,,,30,1,,,,,,,,,30,1,,,,
2018,3,30,2018-3-30,30/3/2018,"Friday, 30 March 2018",,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,3,"T,G,M",4,1,,,,,,2,,1,4,1,,,,,,2,,1
2018,4,28,2018-4-28,28/4/2018,"Saturday, 28 April 2018",5678,10332,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,L,,,,,1,1,370,4,716,3,,,,,1,1,370,4,716,3
2018,5,6,2018-5-6,6/5/2018,"Sunday, 6 May 2018",5796,10556,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
2018,6,3,2018-6-3,3/6/2018,"Sunday, 3 June 2018",,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P,201,3,229,3,27,1,120,4,186,3,201,3,229,3,27,1,120,4,186,3
2018,7,16,2018-7-16,16/7/2018,"Monday, 16 July 2018",,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,T,,,,,23,1,1,1,,,,,,,23,1,1,1,,
2018,8,25,2018-8-25,25/8/2018,"Saturday, 25 August 2018",,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"L,T",,,,,,,,3,164,3,,,,,,,,3,164,3
2018,12,15,2018-12-15,15/12/2018,"Saturday, 15 December 2018",,10382,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2,"S,T,G",,,,,,,,2,,1,,,,,,,,2,,1
2018,12,22,2018-12-22,22/12/2018,"Saturday, 22 December 2018",5699,,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,3,W,,,,,,,,,,,437,3,10,1,31943,4,250,4,2844,4
2018,12,26,2018-12-26,26/12/2018,"Wednesday, 26 December 2018",,10383,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,S,,,,,,,,,,,,,,,28,1,115,4,15,1
